Timestamp,Please enter your worker ID,Please enter verification code from this writing session (session_id),Is English your first language?,"How qualified do you think you are to write about this topic? (based on background knowledge, understanding of prompts, etc.)?","During this writing session, the suggestions you received were grammatically correct, and contributed to the fluency of the essay.","During this writing session, the suggestions helped me come up with new ideas.","During this writing session, I felt like that I would have written a *better* essay if I wrote the essay alone.","During this writing session, the system was competent (having expert knowledge and ability to perform a task successfully) in writing.","During this writing session, the system was capable of writing persuasive essays.","During this writing session, the system understood what I was trying to write.",Which aspects of the suggestions (that you received during this writing session) can be improved? Any specific examples?,It was easy to write with the system.,I am satisfied with the essay I wrote.,I am confident in my ability to write an essay with the help of the system.,I feel like the essay is mine. ,____% of the essay is written by me (and the rest is written by taking the suggestions). [between 0-100%],"If the system is available for free, I would reuse the system.",Any feedback/comment? (optional)
8/27/2021 17:37:02,A1198W1SPF1R4,875a0703850a4f4d97dcbacdf2690dd5,No,You are fairly confident in your qualification.,6,7,1,7,7,7,The suggestions are already good enough.,7,7,7,7,30,7,
8/27/2021 17:55:27,A1198W1SPF1R4,5233fde72269427db4cd417546bfddf3,No,"You are confident in your qualification, but not absolutely certain.",6,7,2,7,7,7,Some of the suggestions are repetitive.,7,7,7,7,35,7,
8/27/2021 19:17:34,A1198W1SPF1R4,c88c771b282d49af9c406582462da7a4,No,"You are confident in your qualification, but not absolutely certain.",6,7,2,7,7,7,The suggestions were good enough.,7,7,7,7,40,7,
8/27/2021 20:01:54,A1198W1SPF1R4,3b0ba1980f8b4d1c984ac8d8e5f546f6,No,"You are confident in your qualification, but not absolutely certain.",6,7,2,7,7,7,Some of the suggestions were repetitive.,7,7,7,7,50,7,
8/28/2021 13:55:11,A1198W1SPF1R4,971b30521fb149d88af88aa7b686c2af,No,"You are confident in your qualification, but not absolutely certain.",6,7,1,7,7,7,The suggestions are good enough.,7,7,7,7,40,7,
8/28/2021 14:12:22,A1198W1SPF1R4,74d03d9ca487448ebe2ffcbad7399b9d,No,You are absolutely certain about your qualification.,7,7,1,7,7,7,The suggestions are very good.,7,7,7,7,35,7,
8/29/2021 0:00:28,A1198W1SPF1R4,a0e457301f0b496faa2f5126ed4bc5ea,No,You are absolutely certain about your qualification.,7,6,2,6,6,6,A few suggestions are not relevant to the topic.,7,7,7,7,65,7,
8/29/2021 0:21:15,A1198W1SPF1R4,a8268620a9a74cd9a64bd82f90723729,No,You are absolutely certain about your qualification.,7,5,2,5,5,6,There were not enough suggestions offered.,5,6,5,7,70,7,
8/29/2021 21:25:00,A1198W1SPF1R4,ea8c98f9c0ab41d0b488acadca0e635b,No,"You are confident in your qualification, but not absolutely certain.",6,5,3,5,5,4,The suggestions I received were relatively worse than my previous session.,5,6,5,7,85,7,
8/29/2021 21:41:07,A1198W1SPF1R4,1059f00ce0f042808d27139c2a2ca9c5,No,You are absolutely certain about your qualification.,6,6,2,6,6,7,The suggestions I received were relatively better than my previous session.,7,7,7,7,70,7,
8/30/2021 14:41:14,A1198W1SPF1R4,68e4049ae7b64e988703b135729ee29e,No,You are fairly confident in your qualification.,6,4,3,4,4,4,"I just received two or three rounds of suggestions, which were not enough.",4,5,4,7,90,6,
8/30/2021 20:52:02,A1198W1SPF1R4,787e032a5802459e9ac5731cdeb7b077,No,You are absolutely certain about your qualification.,6,5,3,5,5,4,The suggestions I received were relatively worse than my previous sessions.,5,6,5,7,70,7,
8/30/2021 22:43:18,A1198W1SPF1R4,203f7cabc70f4567880fcf12c27aad39,No,"You are confident in your qualification, but not absolutely certain.",5,6,2,6,6,6,The suggestions I received were good and relatively better than my previous session.,6,6,7,7,50,7,
8/31/2021 12:18:03,A1198W1SPF1R4,1c5622c21c424b91a8325faa0c5e753e ,No,You are fairly confident in your qualification.,7,7,1,7,7,7,The suggestions were very good and much better than my previous session.,7,7,7,7,40,7,
8/31/2021 13:43:25,A1198W1SPF1R4,79ba2a0b081c488c8756d76f2e7a9e9e,No,You are absolutely certain about your qualification.,7,5,3,5,5,7,The suggestions I received were relatively worse than my previous session. There were not enough suggestions received.,5,6,6,7,80,7,
8/31/2021 23:56:27,A1198W1SPF1R4,b8be5a82533b406bbf13aaa587a8d924,No,You are absolutely certain about your qualification.,6,6,2,6,6,7,The suggestions I received were not enough. They were good though.,6,7,6,7,70,7,
9/3/2021 21:23:10,A1198W1SPF1R4,1c79fdd1a6c1412990b6abd4c7b57587,No,"You are confident in your qualification, but not absolutely certain.",5,6,2,6,6,7,The suggestions I received were helpful and persuasive.,6,7,6,7,70,7,
8/22/2021 13:13:21, A1E235KE3CSO7H,4cb270632c6e47f5ba6d606d53f66cd0,Yes,You are absolutely certain about your qualification.,4,2,4,2,1,1,Redundant writing prompts should be excluded. Being able to submit a keyword might help AI better decipher appropriate suggestions.,6,7,5,7,98,2,
8/27/2021 22:53:59,A118BQHK3S4UDV,4a1587e75edd4d1297755c1f526108d7,Yes,You are absolutely certain about your qualification.,3,1,6,2,1,1,"The majority of the time, the system was unable to come up with any suggestions whatsoever for me, or was only able to come up with short rhetorical questions like ""what do you think?"" It was extremely unhelpful and did not contribute much of anything to my argument.",1,1,2,6,90,2,"I don't know what it was about this prompt or about the stance I took, but the AI was extremely unhelpful and didn't seem to know how to deal with the text."
8/27/2021 23:12:27,A118BQHK3S4UDV,3bc6de35276140e98771dd17c5773c06,Yes,"You are confident in your qualification, but not absolutely certain.",4,2,6,2,2,3,"The system failed to provide me with suggestions several of the times that I requested them. Perhaps my thesis was too complex, but it ended up not being super helpful, and I felt obligated to ""feed"" it sentence starters to try to encourage it to come up with something I could use.",1,3,7,7,86,3,
9/2/2021 1:48:25,A118BQHK3S4UDV,b30082b36e764dbd859c020b10fe78b5,Yes,You are fairly confident in your qualification.,7,7,1,7,7,7,"The suggestions were great and really helped me fill out my arguments. They were all grammatical and made sense in context. One suggestion I used at the end of my essay even referenced all the other things I had already talked about, like a proper concluding statement should!",7,7,7,4,30,7,
9/2/2021 2:02:03,A118BQHK3S4UDV,9bd7285cf8f84693a183dc4a452c61bb,Yes,You provided an educated guess. The topic is not in your area of expertise or the prompt was difficult to understand.,3,4,1,2,2,5,"At times, I only got one suggestion, which wasn't very helpful. Most of the suggestions over the course of the exercise used the exact same wording, even up to the point of disparate suggestions being exactly identical. That too, wasn't the most helpful, because it made my argument feel repetitive.",3,1,3,2,55,3,
8/25/2021 8:59:15,A143XRCI1YXAFE,f32c0ee4236a49dda07481052a6fd6e5 ,Yes,"You are confident in your qualification, but not absolutely certain.",7,7,4,7,7,7,"Nothing can be improved, the AI worked well",6,6,6,6,85,7,
8/25/2021 9:20:13,A143XRCI1YXAFE,bce8bc77519e4247a5f545300a8c4ff9,Yes,You are fairly confident in your qualification.,6,5,4,5,5,6,"The AI wasn't always helpful, and sometimes it didn't have any suggestions for me. ",6,6,6,6,95,6,
8/27/2021 5:22:55,A143XRCI1YXAFE,9d9b9dfaa2b5423398abb53fd06f857d ,Yes,You are fairly confident in your qualification.,7,7,4,7,7,7,I have no suggestions to improve the system. ,7,7,7,7,85,7,
8/26/2021 5:57:23,A14OQ52EFQAN2W,4503b999b72848f396258761c04cc7e8,Yes,"You are confident in your qualification, but not absolutely certain.",6,6,2,6,6,6,n/a,6,6,6,6,80,5,
8/24/2021 4:46:18,A173MXK429XAZQ,8950ddb597804d51b4cc61f144e96338 ,Yes,You are fairly confident in your qualification.,4,3,4,3,3,3,"There were not many suggestions given, and those that were were repetitive.",4,6,5,6,95,3,
8/30/2021 18:01:25,A17AF42SNQNH9C,9a85784e74bb49e48c68a9f6695efad2,Yes,You are absolutely certain about your qualification.,3,3,5,4,3,3,"During this hit, I felt the AI didn't always know what I was trying to write about or how to elaborate on what I was trying to say, so I used the AI's suggestions less often than in my previous hits.",4,6,6,6,70,7,
8/19/2021 1:19:32,A17Q4QN6UE0EZC,5294630b417446fdb469da4f7ca41488,Yes,You are fairly confident in your qualification.,5,3,6,5,4,5,Coming up with more creative ideas or ideas different from what I was thinking. Possibly giving writers new points to address.,6,6,6,6,90-10%,5,
8/22/2021 13:37:37,A1E235KE3CSO7H,43bda44256df4d51ba681ac40dcfe8c1,Yes,You are absolutely certain about your qualification.,5,5,3,4,5,3,"If the writer has already addressed an aspect of the subject, AI should not suggest it because it is useless once it has been addressed.",6,6,6,5,75,5,
8/23/2021 17:28:22,A1E235KE3CSO7H,278c77bedc924472bf0f0061598575ca,Yes,You are absolutely certain about your qualification.,4,6,3,6,2,5,The system could give more diverse suggestions..,6,5,6,5,70,6,"I just figured out that is a prompt is the opposite of something I want to add to my writing, I can change a word or two. So if prompts are not exactly correct, I can manipulate them and be helped in that way."
8/24/2021 21:41:55,A1E235KE3CSO7H,5960818e4b234acab13c90618afee4b3,Yes,You are absolutely certain about your qualification.,4,4,2,4,3,4,The system could make suggestions about what the user has written and make replacement suggestions for various phrases and sentences.,6,6,6,6,95,6,
8/25/2021 21:59:54,A1E235KE3CSO7H,9614fb65fa5146549e303e13586a947b,Yes,You are absolutely certain about your qualification.,5,2,5,5,5,5,It would be helpful if prompts existed at the start of a new thought. ,6,5,6,6,80,5,
8/31/2021 15:15:03,A1E235KE3CSO7H,f1523aa1deaa487c917db18be99ac355,Yes,You are absolutely certain about your qualification.,5,6,3,5,5,5,Some prompts could have been more accurate.,6,5,6,5,80,5,
8/19/2021 1:07:17,A1PBRKFHSF1OF8,738bf296e71f42de8155defdaaca17ce,Yes,You are absolutely certain about your qualification.,7,1,7,2,1,4,It kept giving me the same examples even though I wanted different ones.,4,6,7,7,75,2,
8/19/2021 4:41:28,A1PTH9KTRO06EG,917d343c54e145969496c1aabe8c321c,Yes,You are absolutely certain about your qualification.,6,7,4,6,7,7,The suggestions were difficult to use in this situation because i was writing from past experiences. May be easier to have suggestions that were more general in this case.,6,7,7,5,90,7,
8/19/2021 4:44:04,A1PTH9KTRO06EG,917d343c54e145969496c1aabe8c321c,Yes,You are absolutely certain about your qualification.,6,7,4,6,7,6,I was writing from personal experience so it was tough to use the suggestions often. Would have helped to have more general input from the AI.,5,6,5,7,90,7,
8/19/2021 5:37:47,A1PTH9KTRO06EG,04ebdfae0edc4adcb7e59ff060b45e72,Yes,You are absolutely certain about your qualification.,5,4,6,5,4,5,There were not many suggestions whatsoever whenever i would ask. More than half of the times i asked the AI told me that there were no suggestions.,4,3,2,5,90,6,
8/19/2021 6:58:01,A1PTH9KTRO06EG,c362a09a04644abcab777be73f508034,Yes,You are absolutely certain about your qualification.,5,6,7,6,7,6,I just dont think i received very relevant suggestions the majority of the time to be honest.,7,6,7,7,95,7,
8/21/2021 13:25:05,A1PTH9KTRO06EG,842e37eb2e4d49ea883303dd9b01dc54,Yes,You are absolutely certain about your qualification.,2,7,7,4,5,4,"I did not like the suggestions i was receiving often times. They would either switch my stance, or not be grammatically correct more often than not.",4,6,6,7,90,4,
8/23/2021 3:27:18,A1PTH9KTRO06EG,2b0bf00c87074030b36a423d292605e7,Yes,You are absolutely certain about your qualification.,5,6,6,5,6,7,I thought the machine did a great job. It took a while to load one or two times and that is really my only criticism.,6,7,7,7,80,7,
8/23/2021 3:45:57,A1PTH9KTRO06EG,7fdd4ec9a2164e9d8f3d28e1db1df08c,Yes,You are absolutely certain about your qualification.,6,7,4,6,7,7,"I thought the suggestions were fine, however the AI was a little slow to load at times.",6,7,6,6,80,7,
8/23/2021 4:13:09,A1PTH9KTRO06EG,78584b68efc441dc9e63092f93760523,Yes,You are absolutely certain about your qualification.,3,7,6,5,6,7,"I liked the AI for the most part, however many of the recommendations were not grammatical at times.",6,7,7,6,85,7,
8/23/2021 4:52:01,A1PTH9KTRO06EG,df1fe58fe9244c8fbf1183f385d2112f,Yes,You are absolutely certain about your qualification.,6,5,5,6,7,6,I thought the suggestions were helpful. They did well in sparking my memory more than anything else. I think they could be improved by simply fitting into what i was writing a little better.,6,7,5,6,85,7,
8/23/2021 5:12:31,A1PTH9KTRO06EG,c291ea51ad6c42a887c1fd2464edebe1,Yes,You are absolutely certain about your qualification.,5,6,4,6,6,7,I just felt that often times the recommendations were not as grammatical as i would have hoped.,6,5,6,6,90,6,
8/23/2021 13:38:14,A1PTH9KTRO06EG,91c5030e4af74e8a870fa98675b6681d,Yes,You are absolutely certain about your qualification.,6,6,4,5,6,5,"I felt the suggestions worked well, i just felt there wasnt much variety whatsoever in the different options. They were all the same, just paraphrases.",5,6,5,7,85,6,
8/24/2021 3:39:39,A1PTH9KTRO06EG,093bf29840194d24ba2b828b3a6e04cd,Yes,You are absolutely certain about your qualification.,5,7,6,7,6,5,The AI did a decent job however i didnt feel like the suggestions were all too interesting. Served as decent inspiration.,6,6,7,6,85,6,
8/24/2021 6:54:09,A1PTH9KTRO06EG,836d8f49af1340ee84cd534b2051bd34,Yes,You are absolutely certain about your qualification.,5,7,6,6,7,7,I used the AI for inspiration more than using the actual lines themselves. I would just like for more useable sentences that fit grammatically.,7,6,7,7,80,6,
8/24/2021 7:09:56,A1PTH9KTRO06EG,4fc378c03e0a49b6a9a2674ed809242d,Yes,You are absolutely certain about your qualification.,6,6,7,6,7,6,"I liked the suggestions, but felt i had to edit them often to be able to use them in my essay. Also, i had certain points where i received random suggestions that made no sense.",7,5,5,7,85,6,
8/24/2021 8:10:38,A1PTH9KTRO06EG,4593c00c9c5449e2b4b2a66287847ab3,Yes,You are absolutely certain about your qualification.,6,7,7,6,7,7,I thought the suggestions were very helpful for the most part to inspire me to write more. I could not however use the suggestions verbatim as they did not always fit into what i was trying to say all that well.,6,7,6,7,80,7,
8/24/2021 11:43:01,A1PTH9KTRO06EG,1cb5822da5794e2a8bb6346c4959a4e3,Yes,You are absolutely certain about your qualification.,6,3,6,4,3,4,"I thought that the suggestions never really were relevant to my topic specifically, but just the prompt. ",5,4,4,6,90,4,
8/24/2021 11:55:39,A1PTH9KTRO06EG,6e1f579ba29946d1b88b76320de96dd0,Yes,You are absolutely certain about your qualification.,4,6,5,6,5,6,"I thought the AI did a terrific job this go around. There was a variety of choices, and they all tied into what i was saying well. Grammar could be improved at times i guess.",7,6,7,7,80,6,
8/24/2021 17:44:41,A1PTH9KTRO06EG,0be30355c4764eafa7a8939b9c2b42dd,Yes,You are absolutely certain about your qualification.,6,7,5,6,7,7,I liked the suggestions however not all of them would always follow what i was writing about. Seemed random at times.,5,7,6,7,80,6,
8/26/2021 4:42:35,A1PTH9KTRO06EG,274b3499d10740618bafbf67ed900094,Yes,You are absolutely certain about your qualification.,4,6,4,5,6,5,I think that the suggestions were good however not always grammatically sound. This is an area for improvement off the top of my head.,6,5,5,6,85,6,
8/26/2021 5:18:45,A1PTH9KTRO06EG,758b76b82ccf413aa93fd4d74624d288,Yes,You are absolutely certain about your qualification.,7,6,4,6,6,7,I liked the suggestions a lot and they really helped me. I didnt like the ones that wouldnt be a finished sentence though. They required me to go on with that idea and sort of took me away from my train of thought at times.,6,7,7,6,85,7,
8/26/2021 5:33:21,A1PTH9KTRO06EG,3ae5a0c999e74de5bd0a8811e7eeef73,Yes,You are absolutely certain about your qualification.,5,3,7,3,3,2,The AI barely gave me any suggestions. Most of the time the AI would just tell me that there were no suggestions available at the time.,2,4,5,7,90,3,
8/27/2021 4:53:26,A1PTH9KTRO06EG,07052b6123424ad2b3aadfb9910d0fc4,Yes,You are absolutely certain about your qualification.,6,4,6,4,4,3,The suggestions were often things i had often wrote about. Did not find myself being able to use many of the suggestions at all.,7,6,7,7,90,3,
8/27/2021 5:43:45,A1PTH9KTRO06EG,a61420ddc0944dc2b15962c5f7e9cc05,Yes,You are absolutely certain about your qualification.,6,4,6,3,3,2,"The AI did not help me much since they were not able to offer me many suggestions. Got the no suggestion message multiple times, and when i didnt received maybe one or two.",3,2,3,7,90,2,
8/31/2021 3:53:52,A1PTH9KTRO06EG,d142990f5b1f4cb0a8e44cb371446374,Yes,You are absolutely certain about your qualification.,6,7,2,6,7,6,"I liked the AI for the most part, however i hit points in the essay when i didnt receive many recommendations at all.",7,7,6,7,90,7,
8/31/2021 5:42:32,A1PTH9KTRO06EG,74c7e84ad70d40ca97fa859664465bee,Yes,You are absolutely certain about your qualification.,4,6,5,6,5,6,I did not receive many suggestions and when i did all they talked about were social media. They were all sentences i had used before so not really helpful whatsoever.,5,3,4,6,85,4,
9/1/2021 4:24:07,A1PTH9KTRO06EG,4b119edd75174d1fa4a4c3c63493ae11,Yes,You are absolutely certain about your qualification.,6,7,4,6,5,6,"I liked the suggestions for the most part, but at times did not get many.",7,6,7,6,85,7,
9/5/2021 7:59:32,A1PTH9KTRO06EG,2cd036c85bce43f180f81abd83525110,Yes,You are absolutely certain about your qualification.,6,7,4,6,5,6,"The ideas did not really fit well into what i was trying to say verbatim, however they gave me great ideas to continue on writing based off of what the AI suggested.",7,6,7,7,90,7,
9/5/2021 8:18:07,A1PTH9KTRO06EG,c25b2c082a184e678a841035032b5468,Yes,You are absolutely certain about your qualification.,6,7,4,5,6,6,I liked the suggestions however would have preferred for the wording to be more useable for me to add it right into my essay.,7,6,7,7,85,6,
8/18/2021 15:31:16,A1QUQ0TV9KVD4C,2f7b16fcf52c46649d87e2d35897fcd0,Yes,You are absolutely certain about your qualification.,6,4,5,4,4,5,There were many times were the system had no recommendations,5,5,5,4,65,5,
8/19/2021 5:17:24,A1QUQ0TV9KVD4C,ce62f7cdb323419ebd92d4dc8b61cdb1,Yes,You are absolutely certain about your qualification.,5,6,4,6,6,6,The suggestions the system made were grammatically correct and lengthy.,6,6,6,5,55,5,
8/19/2021 5:30:23,A1QUQ0TV9KVD4C,b4fdc128ddcb442b82eb4c0bc2607479,Yes,You are absolutely certain about your qualification.,6,6,6,7,6,6,"The system gave very specific, even funny suggestions.",6,6,6,6,50,5,
8/19/2021 5:43:20,A1QUQ0TV9KVD4C,017c174e78ca46248ae1f6b43d5500d8,Yes,You are absolutely certain about your qualification.,5,5,4,5,5,6,Suggestions were logical and no spelling errors,6,6,6,6,55,6,
8/19/2021 5:55:33,A1QUQ0TV9KVD4C,12c7f30c5ba146e2a880fac46bc1e27c,Yes,You are absolutely certain about your qualification.,6,6,6,5,5,5,"Sometimes suggestions would all be the same, no variety",5,5,6,5,55,5,
8/19/2021 6:13:42,A1QUQ0TV9KVD4C,b2cf63a646e54d94b4fcb6d060b6c452,Yes,You are absolutely certain about your qualification.,4,4,6,4,3,4,The system kept repeating the same suggestions over and over,3,4,4,4,65,5,
8/19/2021 6:25:58,A1QUQ0TV9KVD4C,21c3924c87fe4c8397bd84b3dce54dc5,Yes,You are absolutely certain about your qualification.,6,5,5,5,6,5,The system was a little redundant but understood where I was going. ,6,6,6,6,50,6,
8/19/2021 6:39:08,A1QUQ0TV9KVD4C,b30238629d9040b192604dfd1f7d3eaa,Yes,You are absolutely certain about your qualification.,6,6,4,6,6,6,The suggestions were useful and consisted of variety,6,6,6,5,50,7,
8/19/2021 6:50:58,A1QUQ0TV9KVD4C,8d5bc658213f46b881b2a862bfd5a105,Yes,You are absolutely certain about your qualification.,5,5,6,5,5,5,Suggestions were mostly helpful and rarely didn't make any sense. ,5,6,5,5,55,5,
8/19/2021 7:02:17,A1QUQ0TV9KVD4C,c6c9790c4a044b94b6412a7abd98c8c5,Yes,You are absolutely certain about your qualification.,6,6,4,6,6,6,The suggestions were helpful and logical. ,6,6,6,5,50,6,
8/19/2021 7:03:16,A1QUQ0TV9KVD4C,8637ce05b848420f920d5ca02f88a89a,Yes,You are absolutely certain about your qualification.,6,6,3,5,5,6,The system was helpful and the suggestions mostly made sense,6,6,6,6,55,7,
8/19/2021 7:23:03,A1QUQ0TV9KVD4C,cba52478a6aa49519c88dd9db1e5473f,Yes,You are absolutely certain about your qualification.,6,6,3,6,6,6,The suggestions were logical and followed my train of thought,6,6,6,5,50,6,
8/19/2021 7:23:52,A1QUQ0TV9KVD4C,9c4942cdf0d94b6d9ce49896e0093da6,Yes,You are absolutely certain about your qualification.,6,6,6,5,5,5,Some of the suggestions were way too long and could be trimmed down,6,6,6,5,60,6,
8/19/2021 7:51:31,A1QUQ0TV9KVD4C,bd374899c3cb4c83bf9b206791fbd70f,Yes,You are absolutely certain about your qualification.,6,6,4,5,6,6,The suggestions were helpful and fluent,6,6,6,6,50,7,
8/19/2021 7:52:54,A1QUQ0TV9KVD4C,40321204ac204fc3b3aa443db377eeaf,Yes,You are absolutely certain about your qualification.,3,4,7,3,3,4,"The suggestions consisted of random words or citations, or references to authors that were unhelpful.",4,4,5,4,65,4,
8/19/2021 8:08:30,A1QUQ0TV9KVD4C,a95d1ccaabd943ecbbc2eaadc7b30802,Yes,You are absolutely certain about your qualification.,6,6,5,4,4,5,The system couldn't come up with suggestions a lotta the time,6,6,6,5,60,6,
8/23/2021 5:17:41,A1QUQ0TV9KVD4C,ae1f2b6df9a74fe4b1eeec602bf6c3ae,Yes,You are absolutely certain about your qualification.,6,6,4,6,6,6,"No errors noticed, suggestions were helpful",6,6,6,6,50,6,
8/23/2021 5:18:54,A1QUQ0TV9KVD4C,af7e60f790c941399e2b3b6306d9131d ,Yes,You are absolutely certain about your qualification.,6,6,3,6,6,6,System was helpful and easy to use.,6,6,6,5,55,6,
8/23/2021 5:32:39,A1QUQ0TV9KVD4C,d1c88e2180184f86ae24fb566073920a ,Yes,You are absolutely certain about your qualification.,5,5,6,5,5,4,"The suggestions were okay, but I had to rely on my imagination a lot. ",6,6,6,6,65,5,
8/23/2021 5:34:28,A1QUQ0TV9KVD4C,78c867c5fe114a258e45a78d28131cde,Yes,You are absolutely certain about your qualification.,5,4,6,4,4,5,A lot of the time the system had no ideas.,5,4,4,6,60,5,
8/23/2021 6:06:03,A1QUQ0TV9KVD4C,502e693d76204b3ca6935c39fc955113 ,Yes,You are absolutely certain about your qualification.,6,6,4,6,6,6,The system was helpful and followed my train of thougt.,6,6,6,5,50,6,
8/23/2021 6:12:45,A1QUQ0TV9KVD4C,a7d770fdc88c4a00855f52c662a629ad ,Yes,You are absolutely certain about your qualification.,5,6,5,6,6,6,"The system gave good suggestions, some random suggestions noticed",6,6,6,6,50,6,
8/23/2021 6:18:04,A1QUQ0TV9KVD4C,8db86d15b8874bf48a6e5cb948064409 ,Yes,You are absolutely certain about your qualification.,5,5,6,5,5,5,Only a couple of suggestions that made no sense or were random numbers.,6,6,6,6,55,6,
8/23/2021 6:30:39,A1QUQ0TV9KVD4C,5b6d31f421474c3483b1bd08227ff95d ,Yes,You are absolutely certain about your qualification.,6,6,5,6,6,6,Only a few odd suggestions that I had to ignore,6,6,6,6,60,6,
8/23/2021 6:31:51,A1QUQ0TV9KVD4C,2404074432c445018ff2b9f2b6ff89f4 ,Yes,You are absolutely certain about your qualification.,6,5,6,5,5,5,"The system gave decent suggestions, and sometimes couldn't come up with anything. ",6,5,6,6,60,6,
8/23/2021 6:48:10,A1QUQ0TV9KVD4C,e1fd275c34ab4aae9e3a119b0dd3f0b4 ,Yes,You are absolutely certain about your qualification.,6,6,5,6,6,6,"Some random suggestions, even one or two in Spanish",5,6,6,6,55,5,
8/23/2021 6:49:20,A1QUQ0TV9KVD4C,08182f9617eb4a5ea65ace997be70b9b ,Yes,You are absolutely certain about your qualification.,6,6,4,6,6,6,The system was easy to use,6,6,6,6,60,7,
8/23/2021 7:07:31,A1QUQ0TV9KVD4C,29aaf42bc9b0486abeb1191ec2365f3c ,Yes,You are absolutely certain about your qualification.,6,4,6,4,4,4,The second half of the essay the system wasn't coming up with many suggestions at all. ,5,5,5,4,65,4,
8/23/2021 7:08:27,A1QUQ0TV9KVD4C,87428217b0aa4ca8a6001d5c46333f90 ,Yes,You are absolutely certain about your qualification.,6,6,4,6,6,6,The suggestions mostly made sense,6,6,6,5,55,6,
8/23/2021 7:23:05,A1QUQ0TV9KVD4C,85270c60200e4e2886a19f9d0c2b4080 ,Yes,You are absolutely certain about your qualification.,6,6,5,6,6,6,The system repeated the same suggestions many times.,6,6,6,5,50,6,
8/23/2021 7:24:00,A1QUQ0TV9KVD4C,935d692d86f6441b85a7f49c0cd9267d ,Yes,You are absolutely certain about your qualification.,6,6,3,6,6,6,"The system was smooth and easy to use, no issues",6,6,6,6,60,6,
