Timestamp,Please enter your worker ID,Please enter verification code from this writing session (session_id),Is English your first language?,"During this writing session, the suggestions you received were grammatically correct, and contributed to the fluency of the story.","During this writing session, the suggestions helped me come up with new ideas.","During this writing session, I felt like that I would have written a *better* story if I wrote the story alone.","During this writing session, the system was competent (having expert knowledge and ability to perform a task successfully) in writing.","During this writing session, the system was capable of writing creative stories.","During this writing session, the system understood what I was trying to write.",Which aspects of the suggestions (that you received during this writing session) can be improved? Any specific examples?,It was easy to write with the system.,I am satisfied with the story I wrote.,I am confident in my ability to write a story with the help of the system.,I feel like the story is mine. ,____% of the story is written by me (and the rest is written by taking the suggestions). [between 0-100%],"If the system is available for free, I would reuse the system.",Any feedback/comment? (optional)
8/24/2021 11:17:47,A143XRCI1YXAFE,8fe4b8a137ba4a7abe80e5c005f7490f ,Yes,7,7,2,7,7,7,I liked what the AI suggested to me. i have no improvement suggestions.,7,7,7,7,80,7,
8/25/2021 12:29:29,A143XRCI1YXAFE,7d049bd04eb445fd865f447f243998b4,Yes,7,7,2,7,7,7,"I lied the suggestions, they helped me move the story along. ",7,7,7,7,80,7,
8/26/2021 6:20:46,A143XRCI1YXAFE,4b1397f42c2b436c994db077de5d54c4 ,Yes,7,7,4,7,7,7,"I don't think there can be any improvements, I had a good experience this session.",7,7,7,7,85,7,
8/26/2021 8:22:09,A143XRCI1YXAFE,955a3f8444e149f8a66045bb23420a4c ,Yes,7,7,4,7,7,7,"I have no suggestions, the AI was helpful.",7,7,7,7,85,7,
8/26/2021 15:52:27,A143XRCI1YXAFE,0e6c88a3adb84bfab5d3b77640f929f5 ,Yes,7,7,4,7,7,7,I liked what the AI gave me and I do not have any suggestions to improve it ,7,7,7,7,90,7,
8/26/2021 16:23:52,A143XRCI1YXAFE,b65e8358d12a498fa442f3d1072c4bb2 ,Yes,7,7,4,7,7,7,"No specific suggestions, the AI really helped me out.",6,7,7,7,90,7,
8/26/2021 17:57:26,A143XRCI1YXAFE,6363bd9d985e41f79f3bfb8e04fa3b5e ,Yes,7,7,4,7,7,7,The AI and I worked well together. I have no needs for improvement. ,7,7,7,7,80,7,
8/26/2021 5:45:00,A14OQ52EFQAN2W,ed151ac677724c7fbd32f85db77710a2,Yes,7,7,2,6,6,6,None come to mind,6,6,6,5,85,5,
8/16/2021 8:35:04,A173MXK429XAZQ,c8fe68ef837447728273c137d49a144f,Yes,5,5,3,4,5,4,"There were some irrelevant suggestions, such as things like ""I really liked this book!""",6,6,6,6,90,4,
8/24/2021 18:37:23,A173MXK429XAZQ,bc89dc4ac2a04f3aae685f619bb0fd24 ,Yes,5,5,3,4,5,5,"Several of the suggestions were very similar to each other, or basically the same suggestion in different words.",5,5,5,5,80,5,
8/26/2021 14:51:23,A17AF42SNQNH9C,35f12c5f76a443f2b20e8a6165ab998f,Yes,7,7,1,7,7,7,"I let the AI chose the topic of my essay and where I wanted to go with it. I did have to mull a few ideas from the AI before I decided on what to write about, though.",6,6,6,3,40,7,"I wish when we used the tab key for suggestions, we could select more than one statement. Sometimes, the AI will have multiple good ideas that I'll want to implement both of them in my essay. This time, I used the AI to write most of the story to get a feel for its ability. Do you prefer we write the story 50/50 with AI or write more and rely less on AI? If you can send me some feedback then I could strive to do that on future hits. Thanks in advance."
8/29/2021 19:45:54,A17AF42SNQNH9C,1f9525eb67504ccd8167402a950cdf1a,Yes,6,5,2,5,5,6,"Sometimes when I asked the AI for a suggestion it seemed like it was trying to give me another topic or push the story in a different direction. At times, I think that starting a new paragraph might have caused this confusion for the AI, so I can be partially to blamed for that.",5,6,6,5,65,7,
8/31/2021 2:18:25,A17Q4QN6UE0EZC, 6f0c5bb458394a8d82d5d00886ffa92d,Yes,3,2,7,2,4,1,More focused on improving my story instead of creating brand new branching paths.,6,6,6,6,90-10,5,
9/1/2021 11:51:54,A1BWS5AD2T4NIR,648a0da49d2249119a955090691fb52e,Yes,7,7,1,7,7,7,"The tense of the suggestions could be more in line with what has already been written. For example, using ""was"" instead of ""is"" when the events have already occurred.",7,4,7,3,40,7,
8/17/2021 13:13:02,A1E235KE3CSO7H,a1f6b84f1d60425ea7f1f34c2ff519e2,Yes,6,6,3,7,6,6,I liked that both factual and fictional prompts were used. It helped shape the story. I can not think of anything about the suggestions that need improvement.,5,5,6,2,70,7,"I feel that with practice, I can improve my own writing ideas."
8/17/2021 14:45:54,A1E235KE3CSO7H,455d43b4c912498eac41138c743501aa,Yes,6,6,2,6,7,7,The responses were nicely varied so a few more options would have been nice.,6,5,6,2,60,7,
8/23/2021 21:51:31,A1E235KE3CSO7H,b3a1b8cfb7d94eb3a615600d440a0bc1,Yes,3,4,5,5,3,4,The suggestions need to be more varied and not repetitive,4,3,5,5,60,5,
8/24/2021 21:27:45,A1E235KE3CSO7H,e318e17b6c344ab0978c44c9cfe1ae82,Yes,4,2,6,3,4,1,The system should be better able to pick up on the storyline and offer related suggestions.,4,4,6,6,90,4,
8/25/2021 19:41:39,A1E235KE3CSO7H,ea11db08c0dd4477add459779396a29e,Yes,6,4,3,6,6,6,The suggestions worked quite well. I can not think of any improvements.,6,6,6,6,70,6,
8/25/2021 19:55:52,A1E235KE3CSO7H,65db59a7705345ec88f5aafc812951ef,Yes,6,5,3,6,5,5,"At the start of a new thought/paragraph, the system could provide better prompts. This is when I tend to need the most prompting.",6,6,6,6,90,7,
8/25/2021 23:36:52,A1E235KE3CSO7H,8be576f5a9fc4388bb4a608282382fa3,Yes,6,6,2,6,7,6,Humorous prompts would be fun. The use of idioms and puns would make writing the story more creative.,6,6,6,5,80,7,
8/26/2021 22:18:26,A1E235KE3CSO7H,95a0ce79d7ed4a77a0981c522b3deda7,Yes,7,7,1,7,7,7,There were no aspects that could be approved.,6,7,7,3,50,7,
8/31/2021 23:19:07,A1E235KE3CSO7H,1ec7d03923814ad590d270c260b37fad,Yes,7,7,1,7,7,7,There is nothing that could be improved. The suggestions were on point.,7,6,7,5,70,7,
8/16/2021 18:53:36,A1FVXS8IM5QYO8,bd54a50b118341678efa571079cae11e,Yes,7,7,3,7,7,7,I don't think anything could be improved.,7,7,7,7,70,7,This was really interesting. 
8/16/2021 10:08:47,A1PBRKFHSF1OF8,c65f1ff1c8674f12bbb3a4a4b62ec7f1,Yes,5,3,7,5,4,3,The suggestions didn't really go with the story too well,6,7,7,7,70,7,
8/17/2021 2:26:46,A1PBRKFHSF1OF8,992ccdb3cd144e62aa7cddce5efbac3d,Yes,6,7,3,6,7,7,There were quite a few run on sentences as suggestions,7,7,7,7,70,7,
8/18/2021 2:14:43,A1PBRKFHSF1OF8,fc1a28ed73b6450c8a4b9fe3b6349257,Yes,7,7,1,6,7,7,"None, I enjoyed the AI suggestions",7,7,7,7,70,7,
8/16/2021 3:08:07,A1PTH9KTRO06EG,f58ab329f0764998a66dc23a54e81abd,Yes,6,7,4,5,6,5,"Having each suggestion take you in a different path, instead of sometimes having suggestions being overly similar.",7,6,7,7,60,6,
8/16/2021 4:04:39,A1PTH9KTRO06EG,f670362dc84144aabb373a577490e491,Yes,6,6,4,7,6,7,Maybe just an option to either have suggestions stay on the topic or ones that slightly alter the topic/plot.,7,6,7,6,90,7,
8/16/2021 4:56:31,A1PTH9KTRO06EG,76c3366d06584c42b5c0d1af41b63ccb,Yes,6,7,3,6,7,6,It would be cool to be able to have dialogue recommended to me as well instead of just narration.,5,7,6,6,90,7,
8/16/2021 6:24:43,A1PTH9KTRO06EG,2b34c5a6b1bd4256980b6a3e8ed3d196,Yes,6,7,7,6,7,7,I think as i went on the suggestions became more random and less helpful. Maybe a way to improve this.,5,4,5,6,95,4,
8/16/2021 9:08:26,A1PTH9KTRO06EG,5db9af9d7eb8449482b05842af955c63,Yes,6,7,4,6,7,6,I liked the suggestions! Some of the suggestions however were incomplete sentences that needed to be altered.,6,7,6,7,85,7,
8/16/2021 9:50:07,A1PTH9KTRO06EG,8619af4decba4fd0b44bd0194df73038,Yes,6,7,6,7,6,7,I really liked the suggestions this time. In the middle of the story the suggestions didnt work too well however as they all started talking about video games.,6,7,5,7,50,7,
8/16/2021 12:54:47,A1PTH9KTRO06EG,335ffea5a1a8426badc75a2fa056a1a8,Yes,6,7,6,7,6,6,I would say that the suggestions could be more consistent. There are certain points when there are no suggetsions offered.,6,7,6,7,80,7,
8/17/2021 5:11:04,A1PTH9KTRO06EG,0cb1f752dd254646830cf016f27b9f4f,Yes,4,5,3,6,7,6,The suggestions were not great throughout as they often would completely change the scene or topic. Staying on topic would have been very helpful to me personally after the first couple sentences at least.,6,7,5,7,90,7,
8/17/2021 6:21:13,A1PTH9KTRO06EG,dd87568fb11649f283279a507a1c2f11,Yes,6,7,6,7,6,7,The suggestions were pretty corny at times and over the top with the way the dialogue was. Would have preferred more on topic dialogue.,7,6,7,7,95,7,
8/17/2021 9:38:48,A1PTH9KTRO06EG,da4fed90272b41edb41f63fed4a928f0,Yes,6,7,4,6,7,6,"I liked the suggestions for the most part. Did not have an errors in them. Would like more varied suggestions though in general, instead of all of them being so similar from time to time.",7,6,7,5,90,7,
8/17/2021 10:58:30,A1PTH9KTRO06EG,8d77e68c9e2246949f8f3af5342da3a2,Yes,6,7,3,6,7,5,"I loved the suggestions for this one. All of the suggestions made sense for the most part, and I was able to write the story effortlessly.",7,6,7,7,85,7,
8/17/2021 11:46:11,A1PTH9KTRO06EG,b768132809f240b2a3efa1719be82ae4,Yes,6,7,7,6,7,7,"I liked the suggestions! However it got to a point where many of them were talking about some sort of game, or talking in third person about a story.",6,7,7,6,80,7,
8/18/2021 4:03:00,A1PTH9KTRO06EG,d79796ab007244e8abb0ff2efda4a92a,Yes,5,3,4,5,6,5,"The suggestions seemed very random at one point, almost like there was an error in the system.",4,5,5,6,90,6,
8/18/2021 5:27:05,A1PTH9KTRO06EG,49aef8c68d984985b66227f394ee28c2,Yes,6,7,4,6,7,6,"I think that the system did a great job. There were times when it couldnt think of any suggestions, so i guess that is one thing that could be improved in the algorithim.",7,7,7,7,75,7,
8/18/2021 6:32:04,A1PTH9KTRO06EG,b05576e3cea342e6a8a9c460718875b0,Yes,6,7,4,6,7,6,"I liked the suggestions for the most part, however they were only helpful at certain times of the story. Would be helpful to have more creative suggestions.",6,7,7,6,90,7,
8/18/2021 8:36:05,A1PTH9KTRO06EG,b7687cecbf6c4c18a04b5b0b9b031cf4,Yes,7,6,3,6,7,6,I think that the suggestions were great for this prompt. The only improvements i may possibly suggest would be to avoid using names for the suggestions. This sort of limited what i was writing.,7,6,7,6,90,7,
8/18/2021 9:41:47,A1PTH9KTRO06EG,a345a395300d44a5862012539e015002,Yes,7,6,7,6,7,7,"I think it would be good to always have some suggestions at all points in the story. Some points did not offer suggestions, and forced me to write the next sentence without any inspiration.",7,6,7,7,80,7,
8/18/2021 10:08:24,A1PTH9KTRO06EG,ba6d32a6c29a4bfeacf1e25a87a1f804,Yes,6,7,4,6,7,6,"I liked the suggestions. They were all unique and too k me to different places in the story. Maybe could have used a little more creativity word wise, as in vocab.",6,7,7,7,85,7,
8/18/2021 13:37:08,A1PTH9KTRO06EG,cfec8b365d874b18a765ce4afd83b125,Yes,6,7,6,7,7,7,"The suggestions were great. Would have been nice to have more variety in the suggestions, but its all good.",7,6,7,7,50,7,
8/18/2021 14:30:56,A1PTH9KTRO06EG,d301787ad1c14454943032e70f5f46f0,Yes,5,7,4,6,7,6,I loved the suggestions personally. All were very helpful. However sometimes the suggestions would get redundant and not be as helpful as they could be.,7,6,7,7,75,7,
8/23/2021 6:08:17,A1PTH9KTRO06EG,c3c445a6c1d34b329ec1ef4acfddd30d,Yes,6,5,6,6,5,7,I liked the suggestions. The AI just took a while to load at times.,6,7,6,6,90,7,
8/23/2021 7:09:48,A1PTH9KTRO06EG,8d732ed8f2cc4bb393aab9f68c82e408,Yes,4,6,5,6,7,5,"I liked the suggestions, however they all took the story in different directions so they were difficult to utliize.",6,7,7,6,80,6,
8/24/2021 4:17:59,A1PTH9KTRO06EG,ccd58d9e5614445c9ee036243195b7cf,Yes,5,7,6,5,7,6,"I liked the AI suggestions, however they felt a little too random and vague at times.",5,7,6,5,80,7,
8/24/2021 6:23:16,A1PTH9KTRO06EG,9b9d3ecc64fe4b399ad8ed7292a2aca5,Yes,3,4,5,7,6,6,I liked the suggestions a lot. Not too much more to be desired aside from gammatical errors.,6,7,7,6,80,6,
8/24/2021 18:55:48,A1PTH9KTRO06EG,6ccf934ffb284b76b9fa7e57ecabd06b,Yes,6,7,6,7,7,6,"I thought the suggestions were helpful, however i would have appreciated more connected phrases to what i was writing. I found i couldnt use the suggestions verbatim, but had to paraphrase instead.",6,7,7,6,90,6,
8/15/2021 19:42:30,A1QUQ0TV9KVD4C,4951e256dc4f4b44a90c95f8af2f34b7,Yes,5,5,4,5,6,5,More complete sentences with correct punctuation saves time.,6,6,6,5,60,5,
8/15/2021 19:57:12,A1QUQ0TV9KVD4C,c802d58c0f014745af7b010e31e863c3,Yes,5,5,4,5,5,6,Consistently use or omit closing quotation marks.,6,6,7,6,55,6,
8/15/2021 20:10:35,A1QUQ0TV9KVD4C,ac0d02d15e164314841ae2ce49d2b2c9,Yes,6,7,6,6,6,6,More variety of specific people and places for detailed storytelling,6,6,6,5,55,6,
8/15/2021 20:22:47,A1QUQ0TV9KVD4C,5929420aebc940789c58a72f8c8ccd56,Yes,6,5,6,6,6,5,"More variety in details in selection choices, not too repetitive",6,6,5,6,65,6,
8/16/2021 5:15:04,A1QUQ0TV9KVD4C,a8cf086c79104dedaf0894b6ae96411f,Yes,6,5,4,4,6,5,"The options were very logical and not very creative, lacked imagination.",6,5,6,6,65,5,
8/16/2021 5:27:58,A1QUQ0TV9KVD4C,cfea3807443b4149a2c68fb1ee0341f5,Yes,5,4,6,4,4,3,Was giving repetitive suggestions early on after story had already progressed.,4,6,5,5,70,5,
8/16/2021 5:41:00,A1QUQ0TV9KVD4C,07c5099d0eb24fb29da557733ed48f62,Yes,6,6,5,6,6,6,It was hard to follow suggestions with unclear pronoun or writing in third-person versus first-person.,6,6,6,5,55,5,
8/16/2021 5:53:37,A1QUQ0TV9KVD4C,ed71ed0719334d8a8219d77798f6a739,Yes,6,6,4,5,5,6,The options were interesting and had lots of variety. ,6,6,6,6,50,5,
8/16/2021 6:05:16,A1QUQ0TV9KVD4C,01a3e8d4e52f4f1483bf48b33cd88cd9,Yes,6,6,5,5,6,6,The suggestions were fun and entertaining. No grammar issues,6,6,6,6,60,6,
8/17/2021 6:06:26,A1QUQ0TV9KVD4C,eb9fd1c4b18b44679e21e09e4fc7fe0b,Yes,5,4,6,4,4,5,Too many times where AI had no suggestions,4,5,6,4,65,6,
8/17/2021 6:19:20,A1QUQ0TV9KVD4C,fe0fb4892ea749c7a67b12172793c3a4,Yes,5,4,5,5,5,5,"If I started typing then changed my mind and hit Tab, it couldn't come up with suggestions.",6,6,6,5,60,5,
8/17/2021 6:32:07,A1QUQ0TV9KVD4C,18d61fce4bcc4ccf9bd49c621b0ec1c0,Yes,5,6,4,5,5,6,The suggestions were interesting and still required imagination,5,6,6,5,55,5,
8/17/2021 6:43:52,A1QUQ0TV9KVD4C,86b1f1bb36bc4cc588e6dfc86d7a5bc4,Yes,6,6,4,6,6,5,Only a few times where AI couldn't suggest anything. ,6,5,6,6,50,5,
8/17/2021 6:57:46,A1QUQ0TV9KVD4C,a60c272551c6418a845424432fc4cc72,Yes,5,6,6,5,5,6,The suggestions were a little dull and repetitive,5,6,5,5,65,5,
8/17/2021 7:09:34,A1QUQ0TV9KVD4C,e29599231e66474b8a524c23db775e47,Yes,5,6,4,5,5,6,"The suggestions were mostly okay, not many grammar errors",6,6,6,5,50,6,
8/17/2021 7:21:17,A1QUQ0TV9KVD4C,47dff3bdc673494296ba42b16fec93fd,Yes,6,6,4,6,6,6,"The suggestions were good, nothing bad or confusing",6,6,6,5,55,6,
8/17/2021 7:44:01,A1QUQ0TV9KVD4C,3cfab79e841a41a7b6edf77e7b28886b,Yes,5,6,6,5,5,6,Some of the suggestions were too long and wordy,5,5,6,5,55,5,
8/18/2021 1:53:00,A1QUQ0TV9KVD4C,ccbcf12b87b04596848a5091118c49d9,Yes,5,5,6,5,5,5,"no issues, suggestions were smooth and legible",6,6,6,6,60,5,
8/18/2021 2:05:28,A1QUQ0TV9KVD4C,676557098dfe452d88e87d3a01b5100b,Yes,6,4,6,6,6,5,there were too many times where system couldn't suggest anything and I was on my own,6,5,6,6,65,4,
8/18/2021 2:18:25,A1QUQ0TV9KVD4C,5b7f010672c4459e86b69d0fc99f0509,Yes,6,5,4,5,5,5,Suggestions did not always have proper punctuation,6,6,6,5,55,6,
8/18/2021 2:30:11,A1QUQ0TV9KVD4C,309c885c1f7e483681d807a14b36c831,Yes,6,5,4,6,6,5,The system helped with imaginative suggestions and were easy to work with,5,6,5,6,60,5,
8/18/2021 2:42:05,A1QUQ0TV9KVD4C,48058b31f2ea4797bc9dcc40ab9ee2f1,Yes,6,5,4,5,5,6,Suggestions were mostly grammatically correct and had punctuation,5,6,6,5,55,5,
8/18/2021 2:53:57,A1QUQ0TV9KVD4C,7b0cd9f4cae6467ca5bcd8c5e0aed9e6,Yes,6,5,5,6,6,5,Could use more variety of suggestions and more specific details,6,6,6,5,55,6,
8/18/2021 3:05:39,A1QUQ0TV9KVD4C,dcf08dcc251f48109e68b46ffc0561d6,Yes,3,4,6,3,3,3,The suggestions the system gave early on made no sense. It was like writing alone.,4,5,5,5,75,4,
8/18/2021 3:16:56,A1QUQ0TV9KVD4C,89d3dfa041f54a32ba310a2b34a4055e,Yes,5,5,4,5,5,5,The suggestions were mostly coherent and usable.,6,6,6,5,55,6,
8/18/2021 3:28:23,A1QUQ0TV9KVD4C,ff21eabc9606411ba8cd583fdcdfe72c,Yes,6,5,4,6,6,6,The suggestions were well-written and easy to follow. ,5,6,6,6,60,6,
8/18/2021 3:47:43,A1QUQ0TV9KVD4C,63ab89c6ca594ea0a80519442ac4c27b,Yes,6,6,5,6,6,6,The suggestions were grammatically correct,6,6,6,4,50,6,
8/18/2021 4:03:13,A1QUQ0TV9KVD4C,2a907d5c4723445c9c9653cb1ba65876,Yes,5,5,6,5,5,5,The suggestions were useful but I had to think a lot anyway,5,5,5,4,60,5,
8/18/2021 4:15:05,A1QUQ0TV9KVD4C,9500323928c249d5851b8e56a2362537,Yes,6,5,6,6,6,6,The suggestions were clever and helpful,6,6,6,5,60,6,
8/18/2021 4:27:18,A1QUQ0TV9KVD4C,642f60be7fc54530a6b80ad4bd7fb6d9,Yes,6,5,5,4,5,4,The suggestions in the beginning were a little odd and random,5,5,6,5,65,5,
8/18/2021 4:39:50,A1QUQ0TV9KVD4C,e257561129954362be03dc09727ad7a8,Yes,4,4,5,4,4,4,Some of the suggestions were completely random and off topic,5,5,6,5,60,6,
8/18/2021 4:51:25,A1QUQ0TV9KVD4C,94492b7851ad432da7385f1bb6d18fe8,Yes,6,6,5,6,6,6,The system made good suggestions and was helpful,6,6,6,5,55,5,
8/18/2021 5:03:02,A1QUQ0TV9KVD4C,aa259a5e72c5426ebaa0b2ef7be4aed7,Yes,5,5,6,4,4,5,Some of the suggestions were really in line with my ideas,5,5,5,4,60,5,
8/16/2021 0:21:31,A1S5KQVM900NE,e0435f4cf6fc435c872ffc5b66b66b0c,Yes,7,7,3,6,6,6,"I think one aspect that can be improved, is that the suggestions can provide more variety, so that a person can use that suggestion to write their story. Basically, it would be good to have different suggestions for a following sentence, instead of the same suggestion re-worded. Whenever I used the AI suggestion, it provided good suggestions, but they were only written in different ways, instead of giving other suggestions as well.",7,6,7,6,70,7,
8/17/2021 0:52:46,A1S5KQVM900NE,aa092c2e66ea48d89361cc668d7d4919,Yes,5,5,3,6,5,5,"During this session, I think the suggestions could have been more creative. I felt that the suggestions in some cases were not as helpful as they could have been. It made it harder to write the story with the AI helping me. For example, I would write that the character in my story was a lawyer, but the suggestions were related to a doctor. It felt as though the AI was pushing me away from what I wanted to write.",5,5,6,5,60,6,
8/20/2021 0:44:26,A1S5KQVM900NE,d55f92da75db4afbbf0cb0bff4cae8c0,Yes,6,7,2,6,6,6,"Some of the suggestions did not help me push the story forward because it would recommend the same sentence that I had just written. I had to write a little more on my own, to push the story forward before the AI provided a unique idea to help. I think that could be improved in the future.",7,6,7,6,75,7,
8/20/2021 1:25:52,A1S5KQVM900NE,b6acb37208be4f3e96965f989fd6f9fb,Yes,6,6,1,6,5,5,"During this session, the suggestions were hit and miss. Some suggestions were great and helped me push the story forward by helping me create new ideas. Other times, the suggestions were more useful as filler. The AI can improved by having it provide more creative suggestions and sentences that makes it easier to write. For example, I would receive suggestions that did not fit in the current context of the story, the suggestions would fit well before in the story. So, the AI did not know where the story was in terms of the timeline.",6,6,7,7,85,7,
8/22/2021 0:36:37,A1S5KQVM900NE,91df9236813c406092e3fb6dcf15bc16,Yes,7,6,1,6,6,6,"During this session, the overall suggestions were very good and creative. They helped me write my story efficiently. Some suggestions seemed to reiterate the prior sentence that I had written, so it did not help me push my story forward. The suggestions were only reworded differently, so that they were not the same as my sentences. Overall, I think the suggestions could be more varied. ",7,6,7,6,85,7,
8/22/2021 1:44:13,A1S5KQVM900NE,93cd61b41e0f46dd8af1468977c91ef7,Yes,6,7,1,6,7,6,"Some of the AI suggestions had some typos, so they were a little grammatically incorrect. For example, the AI suggested a sentence with the word ""imminent"" being spelled ""emminent"", which is not correct. I used the sentence, but had to correct the misspelling. So the grammar could be improved slightly.",7,7,7,6,70,7,
8/23/2021 2:03:07,A1S5KQVM900NE,b30d52ea5e7346b19568167cfd2e47c0,Yes,6,6,2,5,5,5,"One aspect of the suggestions that can be improved is, the AI could suggest sentences that are more relevant to the previous topic of the sentences. I would sometimes ask the AI for suggestions after writing a sentence, and the AI would provide suggestions that were not relevant or redundant. For example, I wrote that I was going to meet the wasp queen in Germany, and the AI provided suggestions that reiterated the same thing. ",7,6,7,6,75,7,
8/30/2021 1:35:02,A1S5KQVM900NE,f3fd58f51d4a406ba6151b630e18dbac,Yes,7,7,3,7,7,7,"In this writing session, the suggestions were very good compared to previous sessions. Whenever I used the AI suggestions, it always helped provide me with new ideas to push my story forward. It helped me create better characters and a more believable story for me.",7,7,7,6,80,7,
8/26/2021 2:58:37,A1TW2BZRRS874Z,543ec3b66b0c47269e9737a650da21b5,Yes,6,4,5,4,4,5,Most were dull and just repeated what I had written recently but in a different way.,6,3,6,6,85,6,
8/26/2021 3:17:16,A1TW2BZRRS874Z,22fbbbae605c469f9ee3551b6030e421,Yes,6,5,4,5,4,6,That it was able to keep up with the specifics of the story and add to it.,6,5,6,6,80,6,
8/26/2021 3:30:45,A1TW2BZRRS874Z,6eddf840a84f4e48936eb1928eda184a,Yes,6,3,4,3,3,4,"this time, I think it helped me with a few transitions to new parts of the story",6,5,6,6,90,5,I used two or three suggestions from the AI and modified one so it fit.
8/26/2021 3:44:23,A1TW2BZRRS874Z, e2a81dbfc6e7456ea4bbf9f8fd279f86,Yes,5,5,3,5,4,5,"It was able to help me when I hit a block. Whether it was a transition or new piece of info, it was a help",6,4,6,6,80,6,
8/26/2021 3:58:46,A1TW2BZRRS874Z,4eeea91c57b0425b9faf9bc4b74ec2be,Yes,6,6,3,5,5,6,This time the AI was actually giving me novel ideas instead of just basic info already presented in my story.,6,5,6,6,75,6,this one was the best out of 4 so far.
